Poll,Date,Sample,Spread
RCP Average,12/11 - 1/11,--,48.3
Emerson,Emerson,1/8 - 1/11,600 RV
Economist/YouGov,Economist,1/8 - 1/9,1327 RV
Quinnipiac,Quinnipiac,1/5 - 1/9,1106 RV
Reuters/Ipsos,Reuters,1/5 - 1/9,1616 A
Economist/YouGov,Economist,12/31 - 1/2,1277 RV
Reuters/Ipsos,Reuters,12/29 - 1/2,1770 A
Economist/YouGov,Economist,12/24 - 12/26,1004 RV
Economist/YouGov,Economist,12/17 - 12/19,1291 RV
Reuters/Ipsos,Reuters,12/15 - 12/19,2492 A
Quinnipiac,Quinnipiac,12/13 - 12/18,1230 RV
CNN,CNN,12/14 - 12/17,898 RV
NBC News/Wall St. Jrnl,NBC/WSJ,12/13 - 12/15,736 RV
PPP (D),PPP (D),12/11 - 12/12,862 RV
Economist/YouGov,Economist,12/10 - 12/12,1338 RV
Monmouth,Monmouth,12/10 - 12/12,702 RV
Reuters/Ipsos,Reuters,12/8 - 12/12,1457 A
Quinnipiac,Quinnipiac,12/6 - 12/11,1211 RV
Marist,Marist,12/4 - 12/7,1079 RV
Economist/YouGov,Economist,12/3 - 12/5,1341 RV
Reuters/Ipsos,Reuters,12/1 - 12/5,1548 A
Quinnipiac,Quinnipiac,11/29 - 12/4,1508 RV
Economist/YouGov,Economist,11/26 - 11/28,1319 RV
Reuters/Ipsos,Reuters,11/24 - 11/28,1969 A
Economist/YouGov,Economist,11/19 - 11/21,1344 RV
Reuters/Ipsos,Reuters,11/17 - 11/22,1489 A
NPR/PBS/Marist,NPR/PBS/Marist,11/13 - 11/15,802 RV
Economist/YouGov,Economist,11/12 - 11/14,1281 RV
Reuters/Ipsos,Reuters,11/10 - 11/14,1520 A
Quinnipiac,Quinnipiac,11/7 - 11/13,1577 RV
Marist,Marist,11/6 - 11/9,850 RV
Economist/YouGov,Economist,11/5 - 11/7,1336 RV
Reuters/Ipsos,Reuters,11/3 - 11/7,1572 A
ABC News/Wash Post,ABC/WP,10/29 - 11/1,884 RV
Economist/YouGov,Economist,10/29 - 10/31,1291 RV
Reuters/Ipsos,Reuters,10/27 - 10/31,1798 A
PPP (D),PPP (D),10/27 - 10/29,572 RV
NBC News/Wall St. Jrnl,NBC/WSJ,10/23 - 10/26,753 RV
Economist/YouGov,Economist,10/22 - 10/24,1312 RV
FOX News,FOX News,10/22 - 10/24,1005 RV
Reuters/Ipsos,Reuters,10/20 - 10/24,2352 A
Economist/YouGov,Economist,10/15 - 10/16,1326 RV
CNN,CNN,10/12 - 10/15,RV
Economist/YouGov,Economist,10/7 - 10/10,1278 RV
Quinnipiac,Quinnipiac,10/5 - 10/10,1482 RV
Economist/YouGov,Economist,10/1 - 10/3,1298 RV
Economist/YouGov,Economist,9/24 - 9/26,1254 RV
Quinnipiac,Quinnipiac,9/21 - 9/26,1412 RV
PPP (D),PPP (D),9/22 - 9/25,865 RV
Economist/YouGov,Economist,9/17 - 9/19,1292 RV
NBC News/Wall St. Jrnl,NBC/WSJ,9/14 - 9/18,751 RV
Economist/YouGov,Economist,9/10 - 9/12,1313 RV
Economist/YouGov,Economist,9/3 - 9/5,1309 RV
Economist/YouGov,Economist,8/27 - 8/29,1278 RV
Economist/YouGov,Economist,8/20 - 8/22,1327 RV
Quinnipiac,Quinnipiac,8/17 - 8/22,1514 RV
PPP (D),PPP (D),8/18 - 8/21,887 RV
GWU/Battleground,GWU/Battleground,8/13 - 8/17,1000 RV
Economist/YouGov,Economist,8/13 - 8/15,1291 RV
Quinnipiac,Quinnipiac,8/9 - 8/15,1361 RV
Marist,Marist,8/8 - 8/12,883 RV
Economist/YouGov,Economist,8/6 - 8/8,1303 RV
CNN,CNN,8/3 - 8/6,RV
