Poll,Date,Sample,Democrats (D),Republicans (R),Spread
Emerson,1/8 - 1/11,600 RV,45,40,Democrats +5
Economist/YouGov,1/8 - 1/9,1327 RV,44,37,Democrats +7
Quinnipiac,1/5 - 1/9,1106 RV,52,35,Democrats +17
Reuters/Ipsos,1/5 - 1/9,1616 A,40,31,Democrats +9
Economist/YouGov,12/31 - 1/2,1277 RV,42,36,Democrats +6
Reuters/Ipsos,12/29 - 1/2,1770 A,38,31,Democrats +7
Economist/YouGov,12/24 - 12/26,1004 RV,44,36,Democrats +8
Economist/YouGov,12/17 - 12/19,1291 RV,44,35,Democrats +9
Reuters/Ipsos,12/15 - 12/19,2492 A,39,27,Democrats +12
Quinnipiac,12/13 - 12/18,1230 RV,52,37,Democrats +15
CNN,12/14 - 12/17,898 RV,56,38,Democrats +18
NBC News/Wall St. Jrnl,12/13 - 12/15,736 RV,50,39,Democrats +11
PPP (D),12/11 - 12/12,862 RV,51,40,Democrats +11
Economist/YouGov,12/10 - 12/12,1338 RV,44,36,Democrats +8
Monmouth,12/10 - 12/12,702 RV,51,36,Democrats +15
Reuters/Ipsos,12/8 - 12/12,1457 A,37,29,Democrats +8
Quinnipiac,12/6 - 12/11,1211 RV,49,37,Democrats +12
Marist,12/4 - 12/7,1079 RV,50,37,Democrats +13
Economist/YouGov,12/3 - 12/5,1341 RV,42,36,Democrats +6
Reuters/Ipsos,12/1 - 12/5,1548 A,37,31,Democrats +6
Quinnipiac,11/29 - 12/4,1508 RV,50,36,Democrats +14
Economist/YouGov,11/26 - 11/28,1319 RV,41,35,Democrats +6
Reuters/Ipsos,11/24 - 11/28,1969 A,36,30,Democrats +6
Economist/YouGov,11/19 - 11/21,1344 RV,42,33,Democrats +9
Reuters/Ipsos,11/17 - 11/22,1489 A,37,28,Democrats +9
NPR/PBS/Marist,11/13 - 11/15,802 RV,43,40,Democrats +3
Economist/YouGov,11/12 - 11/14,1281 RV,42,34,Democrats +8
Reuters/Ipsos,11/10 - 11/14,1520 A,38,31,Democrats +7
Quinnipiac,11/7 - 11/13,1577 RV,51,38,Democrats +13
Marist,11/6 - 11/9,850 RV,51,36,Democrats +15
Economist/YouGov,11/5 - 11/7,1336 RV,40,33,Democrats +7
Reuters/Ipsos,11/3 - 11/7,1572 A,38,30,Democrats +8
ABC News/Wash Post,10/29 - 11/1,884 RV,51,40,Democrats +11
Economist/YouGov,10/29 - 10/31,1291 RV,39,36,Democrats +3
Reuters/Ipsos,10/27 - 10/31,1798 A,40,31,Democrats +9
PPP (D),10/27 - 10/29,572 RV,50,40,Democrats +10
NBC News/Wall St. Jrnl,10/23 - 10/26,753 RV,48,41,Democrats +7
Economist/YouGov,10/22 - 10/24,1312 RV,40,33,Democrats +7
FOX News,10/22 - 10/24,1005 RV,50,35,Democrats +15
Reuters/Ipsos,10/20 - 10/24,2352 A,36,28,Democrats +8
Economist/YouGov,10/15 - 10/16,1326 RV,41,33,Democrats +8
CNN,10/12 - 10/15,RV,54,38,Democrats +16
Economist/YouGov,10/7 - 10/10,1278 RV,40,33,Democrats +7
Quinnipiac,10/5 - 10/10,1482 RV,49,41,Democrats +8
Economist/YouGov,10/1 - 10/3,1298 RV,39,32,Democrats +7
Economist/YouGov,9/24 - 9/26,1254 RV,40,34,Democrats +6
Quinnipiac,9/21 - 9/26,1412 RV,47,38,Democrats +9
PPP (D),9/22 - 9/25,865 RV,48,37,Democrats +11
Economist/YouGov,9/17 - 9/19,1292 RV,39,33,Democrats +6
NBC News/Wall St. Jrnl,9/14 - 9/18,751 RV,48,42,Democrats +6
Economist/YouGov,9/10 - 9/12,1313 RV,40,31,Democrats +9
Economist/YouGov,9/3 - 9/5,1309 RV,39,33,Democrats +6
Economist/YouGov,8/27 - 8/29,1278 RV,40,32,Democrats +8
Economist/YouGov,8/20 - 8/22,1327 RV,39,33,Democrats +6
Quinnipiac,8/17 - 8/22,1514 RV,50,38,Democrats +12
PPP (D),8/18 - 8/21,887 RV,49,35,Democrats +14
GWU/Battleground,8/13 - 8/17,1000 RV,45,38,Democrats +7
Economist/YouGov,8/13 - 8/15,1291 RV,41,33,Democrats +8
Quinnipiac,8/9 - 8/15,1361 RV,50,40,Democrats +10
Marist,8/8 - 8/12,883 RV,47,40,Democrats +7
Economist/YouGov,8/6 - 8/8,1303 RV,39,34,Democrats +5
CNN,8/3 - 8/6,RV,51,42,Democrats +9
Economist/YouGov,7/31 - 8/1,1329 RV,39,34,Democrats +5
Quinnipiac,7/27 - 8/1,1125 RV,52,38,Democrats +14
Economist/YouGov,7/23 - 7/25,1282 RV,40,34,Democrats +6
Economist/YouGov,7/15 - 7/18,1273 RV,40,34,Democrats +6
ABC News/Wash Post,7/10 - 7/13,RV,52,38,Democrats +14
Economist/YouGov,7/9 - 7/11,1284 RV,39,32,Democrats +7
Economist/YouGov,7/3 - 7/4,1323 RV,37,35,Democrats +2
